,time,체중(kg),index,개체번호,일일 착유 횟수,착유량(L),섭취량(kg),CO2 측정값,온도 측정값,습도 측정값
0,2020-01-22,699.0,1.0,20130816010079.0,2.0,82.0,9.0,,,
1,2020-01-23,704.0,2.0,20130816010079.0,2.0,86.0,9.0,,,
2,2020-01-24,710.0,3.0,20130816010079.0,2.0,92.0,10.0,,,
3,2020-01-25,708.0,4.0,20130816010079.0,2.0,92.0,10.0,,,
4,2020-01-26,707.0,5.0,20130816010079.0,2.0,94.0,10.0,,,
5,2020-01-27,702.0,6.0,20130816010079.0,2.0,98.0,10.0,,,
6,2020-01-28,709.0,7.0,20130816010079.0,2.0,102.0,10.0,,,
7,2020-01-29,707.0,8.0,20130816010079.0,2.0,102.0,10.0,,,
8,2020-01-30,715.0,9.0,20130816010079.0,2.0,108.0,10.0,,,
9,2020-01-31,723.0,10.0,20130816010079.0,2.0,110.0,10.0,,,
10,2020-02-01,732.0,11.0,20130816010079.0,2.0,110.0,7.0,,,
11,2020-02-02,719.0,12.0,20130816010079.0,2.0,108.0,6.0,,,
12,2020-02-03,725.0,13.0,20130816010079.0,2.0,104.0,6.0,,,
13,2020-02-04,737.0,14.0,20130816010079.0,2.0,104.0,7.0,,,
14,2020-02-05,710.0,15.0,20130816010079.0,2.0,104.0,7.0,,,
15,2020-02-06,730.0,16.0,20130816010079.0,2.0,100.0,7.0,,,
16,2020-02-07,736.0,17.0,20130816010079.0,2.0,104.0,7.0,,,
17,2020-02-08,738.0,18.0,20130816010079.0,2.0,106.0,7.0,,,
18,2020-02-09,751.0,19.0,20130816010079.0,2.0,106.0,7.0,,,
19,2020-02-10,727.0,20.0,20130816010079.0,2.0,108.0,7.0,,,
20,2020-02-11,740.0,21.0,20130816010079.0,2.0,104.0,7.0,,,
21,2020-02-12,736.0,22.0,20130816010079.0,2.0,108.0,7.0,,,
22,2020-02-13,744.0,23.0,20130816010079.0,2.0,108.0,8.0,,,
23,2020-02-14,731.0,24.0,20130816010079.0,2.0,106.0,8.0,,,
24,2020-02-15,737.0,25.0,20130816010079.0,2.0,88.0,7.0,,,
25,2020-02-16,739.0,26.0,20130816010079.0,2.0,104.0,7.0,,,
26,2020-02-17,735.0,27.0,20130816010079.0,2.0,110.0,8.0,,,
27,2020-02-18,743.0,28.0,20130816010079.0,2.0,104.0,8.0,,,
28,2020-02-19,747.0,29.0,20130816010079.0,2.0,108.0,8.0,,,
29,2020-02-20,746.0,30.0,20130816010079.0,2.0,112.0,8.0,,,
30,2020-02-21,739.0,31.0,20130816010079.0,2.0,110.0,8.0,,,
31,2020-02-22,737.0,32.0,20130816010079.0,2.0,112.0,8.0,,,
32,2020-02-23,755.0,33.0,20130816010079.0,2.0,108.0,8.0,,,
33,2020-02-24,760.0,34.0,20130816010079.0,2.0,110.0,9.0,,,
34,2020-02-25,757.0,35.0,20130816010079.0,2.0,104.0,9.0,,,
35,2020-02-26,745.0,36.0,20130816010079.0,2.0,106.0,8.0,,,
36,2020-02-27,755.0,37.0,20130816010079.0,2.0,110.0,9.0,,,
37,2020-02-28,736.0,38.0,20130816010079.0,2.0,104.0,7.0,,,
38,2020-02-29,752.0,39.0,20130816010079.0,2.0,96.0,7.0,,,
39,2020-03-01,758.0,40.0,20130816010079.0,2.0,90.0,6.0,,,
40,2020-03-02,739.0,41.0,20130816010079.0,2.0,92.0,8.0,,,
41,2020-03-03,741.0,42.0,20130816010079.0,2.0,100.0,6.0,,,
42,2020-03-04,744.0,43.0,20130816010079.0,2.0,102.0,8.0,,,
43,2020-03-05,732.0,44.0,20130816010079.0,2.0,104.0,7.0,,,
44,2020-03-06,769.0,45.0,20130816010079.0,2.0,94.0,7.0,,,
45,2020-03-07,754.0,46.0,20130816010079.0,2.0,106.0,10.0,,,
46,2020-03-08,752.0,47.0,20130816010079.0,2.0,110.0,8.0,,,
47,2020-03-09,777.0,48.0,20130816010079.0,2.0,108.0,9.0,,,
48,2020-03-10,781.0,49.0,20130816010079.0,2.0,108.0,10.0,,,
49,2020-03-11,785.0,50.0,20130816010079.0,2.0,110.0,8.0,,,
50,2020-03-12,761.0,51.0,20130816010079.0,2.0,106.0,9.0,,,
51,2020-03-13,743.0,52.0,20130816010079.0,2.0,108.0,10.0,,,
52,2020-03-14,775.0,53.0,20130816010079.0,2.0,100.0,7.0,,,
53,2020-03-15,764.0,54.0,20130816010079.0,2.0,106.0,10.0,,,
54,2020-03-16,780.0,55.0,20130816010079.0,2.0,112.0,10.0,,,
55,2020-03-17,769.0,56.0,20130816010079.0,2.0,114.0,10.0,,,
56,2020-03-18,775.0,57.0,20130816010079.0,2.0,110.0,10.0,,,
57,2020-03-19,752.0,58.0,20130816010079.0,2.0,114.0,9.0,,,
58,2020-03-20,765.0,59.0,20130816010079.0,2.0,112.0,9.0,,,
59,2020-03-21,770.0,60.0,20130816010079.0,2.0,112.0,10.0,,,
60,2020-03-22,774.0,61.0,20130816010079.0,2.0,108.0,10.0,,,
61,2020-03-23,777.0,62.0,20130816010079.0,2.0,104.0,9.0,,,
62,2020-03-24,774.0,63.0,20130816010079.0,2.0,104.0,8.0,,,
63,2020-03-25,758.0,64.0,20130816010079.0,2.0,108.0,9.0,,,
64,2020-03-26,774.0,65.0,20130816010079.0,2.0,106.0,10.0,,,
65,2020-03-27,775.0,66.0,20130816010079.0,2.0,104.0,10.0,,,
66,2020-03-28,777.0,67.0,20130816010079.0,2.0,104.0,9.0,,,
67,2020-03-29,775.0,68.0,20130816010079.0,2.0,108.0,10.0,,,
68,2020-03-30,798.0,69.0,20130816010079.0,2.0,110.0,9.0,,,
69,2020-03-31,770.0,70.0,20130816010079.0,2.0,106.0,9.0,,,
70,2020-04-01,782.0,71.0,20130816010079.0,2.0,104.0,8.0,,,
71,2020-04-02,767.0,72.0,20130816010079.0,2.0,108.0,9.0,,,
72,2020-04-03,764.0,73.0,20130816010079.0,2.0,112.0,10.0,,,
73,2020-04-04,773.0,74.0,20130816010079.0,2.0,110.0,10.0,,,
74,2020-04-05,771.0,75.0,20130816010079.0,2.0,108.0,9.0,,,
75,2020-04-06,786.0,76.0,20130816010079.0,2.0,102.0,8.0,,,
76,2020-04-07,778.0,77.0,20130816010079.0,2.0,104.0,9.0,,,
77,2020-04-08,771.0,78.0,20130816010079.0,2.0,110.0,10.0,,,
78,2020-04-09,755.0,79.0,20130816010079.0,2.0,112.0,10.0,,,
79,2020-04-10,770.0,80.0,20130816010079.0,2.0,98.0,8.0,,,
80,2020-04-11,780.0,81.0,20130816010079.0,2.0,106.0,10.0,,,
81,2020-04-12,769.0,82.0,20130816010079.0,2.0,106.0,10.0,,,
82,2020-04-13,780.0,83.0,20130816010079.0,2.0,106.0,9.0,,,
83,2020-04-14,779.0,84.0,20130816010079.0,2.0,106.0,10.0,,,
84,2020-04-15,766.0,85.0,20130816010079.0,2.0,102.0,10.0,,,
85,2020-04-16,788.0,86.0,20130816010079.0,2.0,104.0,10.0,,,
86,2020-04-17,772.0,87.0,20130816010079.0,2.0,104.0,10.0,,,
87,2020-04-18,773.0,88.0,20130816010079.0,2.0,102.0,10.0,,,
88,2020-04-19,781.0,89.0,20130816010079.0,2.0,100.0,10.0,,,
89,2020-04-20,790.0,90.0,20130816010079.0,2.0,98.0,10.0,,,
90,2020-04-21,786.0,91.0,20130816010079.0,2.0,106.0,10.0,,,
91,2020-04-22,774.0,92.0,20130816010079.0,2.0,108.0,10.0,,,
92,2020-04-23,765.0,93.0,20130816010079.0,2.0,108.0,10.0,,,
93,2020-04-24,782.0,94.0,20130816010079.0,2.0,108.0,10.0,,,
94,2020-04-25,768.0,95.0,20130816010079.0,2.0,108.0,10.0,,,
95,2020-04-26,780.0,96.0,20130816010079.0,2.0,104.0,10.0,,,
96,2020-04-27,782.0,97.0,20130816010079.0,2.0,110.0,10.0,,,
97,2020-04-28,783.0,98.0,20130816010079.0,2.0,110.0,10.0,,,
98,2020-04-29,784.0,99.0,20130816010079.0,2.0,104.0,10.0,,,
99,2020-04-30,780.0,100.0,20130816010079.0,2.0,104.0,10.0,,,
100,2020-05-01,784.0,101.0,20130816010079.0,2.0,104.0,10.0,,,
101,2020-05-02,774.0,102.0,20130816010079.0,2.0,100.0,8.0,,,
102,2020-05-03,774.0,103.0,20130816010079.0,2.0,98.0,8.0,,,
103,2020-05-04,776.0,104.0,20130816010079.0,2.0,100.0,8.0,,,
104,2020-05-05,764.0,105.0,20130816010079.0,2.0,96.0,8.0,,,
105,2020-05-06,781.0,106.0,20130816010079.0,2.0,96.0,8.0,,,
106,2020-05-07,776.0,107.0,20130816010079.0,2.0,104.0,10.0,,,
107,2020-05-08,777.0,108.0,20130816010079.0,2.0,102.0,8.0,,,
108,2020-05-09,777.0,109.0,20130816010079.0,2.0,98.0,8.0,,,
109,2020-05-10,785.0,110.0,20130816010079.0,2.0,104.0,10.0,,,
110,2020-05-11,774.0,111.0,20130816010079.0,2.0,102.0,10.0,,,
111,2020-05-12,784.0,112.0,20130816010079.0,2.0,102.0,10.0,,,
112,2020-05-13,777.0,113.0,20130816010079.0,2.0,104.0,10.0,,,
113,2020-05-14,783.0,114.0,20130816010079.0,2.0,98.0,9.0,,,
114,2020-05-15,771.0,115.0,20130816010079.0,2.0,80.0,9.0,,,
115,2020-05-16,771.0,116.0,20130816010079.0,2.0,94.0,10.0,,,
116,2020-05-17,791.0,117.0,20130816010079.0,2.0,96.0,9.0,,,
117,2020-05-18,769.0,118.0,20130816010079.0,2.0,100.0,10.0,,,
118,2020-05-19,777.0,119.0,20130816010079.0,2.0,100.0,10.0,,,
119,2020-05-20,774.0,120.0,20130816010079.0,2.0,100.0,10.0,,,
120,2020-05-21,781.0,121.0,20130816010079.0,2.0,104.0,11.0,,,
121,2020-05-22,775.0,122.0,20130816010079.0,2.0,104.0,11.0,,,
122,2020-05-23,793.0,123.0,20130816010079.0,2.0,88.0,10.0,,,
123,2020-05-24,769.0,124.0,20130816010079.0,2.0,98.0,10.0,,,
124,2020-05-25,779.0,125.0,20130816010079.0,2.0,98.0,10.0,,,
125,2020-05-26,793.0,126.0,20130816010079.0,2.0,98.0,9.0,,,
126,2020-05-27,797.0,127.0,20130816010079.0,2.0,94.0,8.0,,,
127,2020-05-28,789.0,128.0,20130816010079.0,2.0,102.0,10.0,,,
128,2020-05-29,797.0,129.0,20130816010079.0,2.0,98.0,8.0,,,
129,2020-05-30,801.0,130.0,20130816010079.0,2.0,96.0,10.0,,,
130,2020-05-31,794.0,131.0,20130816010079.0,2.0,100.0,10.0,,,
131,2020-06-01,778.0,132.0,20130816010079.0,2.0,88.0,8.0,,,
132,2020-06-02,784.0,133.0,20130816010079.0,2.0,92.0,8.0,,,
133,2020-06-03,788.0,134.0,20130816010079.0,2.0,74.0,5.0,,,
134,2020-06-04,767.0,135.0,20130816010079.0,2.0,78.0,7.0,,,
135,2020-06-05,773.0,136.0,20130816010079.0,2.0,88.0,8.0,,,
136,2020-06-06,774.0,137.0,20130816010079.0,2.0,90.0,8.0,,,
137,2020-06-07,784.0,138.0,20130816010079.0,2.0,86.0,9.0,,,
138,2020-06-08,802.0,139.0,20130816010079.0,2.0,62.0,5.0,,,
139,2020-06-09,772.0,140.0,20130816010079.0,2.0,66.0,6.0,,,
140,2020-06-10,765.0,141.0,20130816010079.0,2.0,72.0,7.0,,,
141,2020-06-11,756.0,142.0,20130816010079.0,2.0,82.0,7.0,,,
142,2020-06-12,762.0,143.0,20130816010079.0,2.0,84.0,7.0,,,
143,2020-06-13,764.0,144.0,20130816010079.0,2.0,86.0,7.0,,,
144,2020-06-14,783.0,145.0,20130816010079.0,2.0,88.0,7.0,,,
145,2020-06-15,777.0,146.0,20130816010079.0,2.0,82.0,7.0,,,
146,2020-06-16,767.0,147.0,20130816010079.0,2.0,88.0,9.0,,,
147,2020-06-17,788.0,148.0,20130816010079.0,2.0,90.0,9.0,,,
148,2020-06-18,776.0,149.0,20130816010079.0,2.0,88.0,10.0,,,
149,2020-06-19,788.0,150.0,20130816010079.0,2.0,98.0,9.0,,,
