year,transect,sta_id,haul_id,month_local,day_local,yrday_local,latitude,longitude,depth_w,species_common_name,length_froz,length_wet,weight_froz,weight_wet,sex,maturity,stomwt_full,stomwt_empty,sealice,comments
dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,degrees_north,degrees_east,meters,dimensionless,?,?,grams,grams,dimensionless,dimensionless,grams,?,dimensionless,dimensionless
2001,Icy_Point,IP2,2001001,07,17,198,58.2,-137.2,64.0,Chinook,NaN,120,NaN,127,,J,0,0,0,
2001,Icy_Point,IP2,2001001,07,17,198,58.2,-137.2,64.0,Chum,NaN,698,NaN,4108,M,A,0,0,0,
2001,Icy_Point,IP2,2001001,07,17,198,58.2,-137.2,64.0,Chum,111,NaN,1,NaN,,J,0,0,0,
2001,Icy_Point,IP2,2001001,07,17,198,58.2,-137.2,64.0,Chum,102,NaN,10,NaN,,J,0,0,0,
2001,Icy_Point,IP2,2001001,07,17,198,58.2,-137.2,64.0,Chum,100,NaN,9,NaN,,J,0,0,0,
2001,Icy_Point,IP2,2001001,07,17,198,58.2,-137.2,64.0,Chum,114,NaN,12,NaN,,J,0,0,0,
2001,Icy_Point,IP2,2001001,07,17,198,58.2,-137.2,64.0,Chum,111,NaN,9,NaN,,J,0,0,0,
2001,Icy_Point,IP2,2001001,07,17,198,58.2,-137.2,64.0,Chum,111,112,13,14,,J,0,0,0,
2001,Icy_Point,IP2,2001001,07,17,198,58.2,-137.2,64.0,Chum,126,NaN,19,NaN,,J,0,0,0,
2001,Icy_Point,IP2,2001001,07,17,198,58.2,-137.2,64.0,Chum,140,142,27,30,,J,0,0,0,
2001,Icy_Point,IP2,2001001,07,17,198,58.2,-137.2,64.0,Chum,112,NaN,14,NaN,,J,0,0,0,
2001,Icy_Point,IP2,2001001,07,17,198,58.2,-137.2,64.0,Chum,105,105,10,11,,J,0,0,0,
2001,Icy_Point,IP2,2001001,07,17,198,58.2,-137.2,64.0,Chum,117,NaN,15,NaN,,J,0,0,0,
2001,Icy_Point,IP2,2001001,07,17,198,58.2,-137.2,64.0,Chum,109,NaN,14,NaN,,J,0,0,0,
2001,Icy_Point,IP2,2001001,07,17,198,58.2,-137.2,64.0,Chum,130,NaN,18,NaN,,J,0,0,0,
2001,Icy_Point,IP2,2001001,07,17,198,58.2,-137.2,64.0,Chum,118,NaN,17,NaN,,J,0,0,0,
2001,Icy_Point,IP2,2001001,07,17,198,58.2,-137.2,64.0,Chum,112,NaN,11,NaN,,J,0,0,0,
2001,Icy_Point,IP2,2001001,07,17,198,58.2,-137.2,64.0,Chum,112,NaN,14,NaN,,J,0,0,0,
2001,Icy_Point,IP2,2001001,07,17,198,58.2,-137.2,64.0,Chum,109,NaN,13,NaN,,J,0,0,0,
2001,Icy_Point,IP2,2001001,07,17,198,58.2,-137.2,64.0,Chum,114,NaN,16,NaN,,J,0,0,0,
2001,Icy_Point,IP2,2001001,07,17,198,58.2,-137.2,64.0,Chum,112,NaN,14,NaN,,J,0,0,0,
2001,Icy_Point,IP2,2001001,07,17,198,58.2,-137.2,64.0,Chum,120,NaN,16,NaN,,J,0,0,0,
2001,Icy_Point,IP2,2001001,07,17,198,58.2,-137.2,64.0,Chum,117,NaN,15,NaN,,J,0,0,0,
2001,Icy_Point,IP2,2001001,07,17,198,58.2,-137.2,64.0,Chum,108,NaN,11,NaN,,J,0,0,0,
2001,Icy_Point,IP2,2001001,07,17,198,58.2,-137.2,64.0,Chum,112,115,14,14,,J,0,0,0,
